106,44 100 
106,44 5
106,44 1876
106,44 10
2030,71 25 
2055,68 75 
3265,23 72 
3534,53 70 
4352,01 80 
5115,1 250 
5134,17 101 
7147,1 100 
7147,1 5
7147,1 1876
7147,1 10
7147,1 25 
7175,52 75 
8385,64 72 
8719,94 70 
9338,63 80 
9985,42 83 
10256,51 64 271
10439,34 74 160
10439,34 61 160
11253,7 151 
11278,78 69 
12089,17 93 
12106,19 103 
12106,19 101 
15136,68 100 
15136,68 5
15136,68 1876
15136,68 10
17116,24 25 
17144,26 75 
18350,51 72 
18435,68 70 
18929,68 80 
19381,64 83 
19811,2 64 430
20263,52 74 428
20263,52 62 428
20672,4 151 
20702,97 69 
21097,51 249 
21865,38 93 
21886,85 103 
21886,85 101 
24919,86 100 
24919,86 5
24919,86 1876
24919,86 10
26898,86 25 
26926,15 75 
28133,64 72 
28218,46 70 
28712,92 80 
29204,28 83 
29272,28 64 68
29482,6 74 184
29482,6 63 184
29896,11 150 
29924,1 68 
31132,5 92 
31132,5 65 
31149,74 103 
31149,74 101 
31691,77 100 
31691,77 5
31691,77 1876
31691,77 11
33669,38 25 
33697,2 75 
34903,68 72 
34988,81 70 
35486,54 80 
36028,2 83 
36159,81 64 132
36341,14 74 167
36341,14 61 167
37151,25 151 
37175,51 69 
37684,9 93 
37706,85 103 
37706,85 101 
40744,47 100 
40744,47 5
40744,47 1876
40744,47 11
42718,74 25 
42746,16 75 
43952,95 72 
44038,39 70 
44534,61 80 
44984,16 83 
45336,38 64 352
45557,89 74 201
45557,89 61 201
45966,5 151 
45984,93 69 
46047,44 249 
46795,75 93 
46809,73 103 
46809,73 101 
49843,46 100 
49843,46 5
49843,46 1876
49843,46 11
51821,61 25 
51848,99 75 
53058,97 72 
53141,25 70 
53634,51 80 
54113,78 83 
54658,47 64 545
55400,13 74 727
55400,13 62 727
56209,17 150 
56234,62 68 
56546,51 249
56607,84 172 
57446,52 92 
57446,52 65 
57458,61 103 
57458,61 101 
58002,83 100 
58002,83 5
58002,83 1876
58002,83 10
59978,2 25 
60005,52 75 
61212,92 72 
61297,79 70 
61800,33 80 
62350,31 83 
62475,24 64 125
62666,73 74 171
62666,73 63 171
63076,63 152 
63097,62 69 
63609,11 93 
63629,27 103 
63629,27 101 
66661,97 100 
66661,97 5
66661,97 1876
66661,97 11
68641,18 25 
68668,52 75 
69877,57 72 
69960,78 70 
70463,27 80 
70959,93 83 
71438,64 64 480
71711,69 74 259
71711,69 62 259
72519,31 150 
72548 68 
72845,83 249
72897,75 172 
73757,47 92 
73757,47 65 
73771,76 103 
73771,76 101 
74309,76 100 
74309,76 5
74309,76 1876
74309,76 10
76278,13 25 
76305,36 75 
77514,4 72 
77597,65 70 
78104,09 80 
78556,7 83 
78813,5 64 257
78969,26 74 133
78969,26 63 133
79380,61 150 
79411,65 68 
80220,37 92 
80220,37 65 
80248,94 103 
80248,94 101 
80789,42 100 
80789,42 5
80789,42 1876
80789,42 11
82769,46 25 
82795,81 75 
84004,18 72 
84088,12 70 
84592,94 80 
85127,66 83 
85334,17 64 207
85360,9 256 
85391,86 74 39
85391,86 62 39
86199,81 150 
86222,24 68 
86536,03 249
86573,25 172 
87034,23 92 
87034,23 65 
87059,37 103 
87059,37 101 
87596,7 100 
87596,7 5
87596,7 1876
87596,7 11
89566,66 25 
89606,51 75 
90815,23 72 
90898,55 70 
91400,27 80 
91897,68 83 
92072,48 64 176
92276,42 74 179
92276,42 62 179
93084,04 150 
93112,4 68 
93427,5 249
93464 172 
94319,89 92 
94319,89 65 
94336,33 103 
94336,33 101 
94869,49 100 
94869,49 5
94869,49 1876
94869,49 10
96842,64 25 
96870,06 75 
98078,79 72 
98162,26 70 
98660,87 80 
99108,07 83 
99309,57 64 202
99493,16 74 159
99493,16 63 159
99904,66 150 
99924,18 68 
100437,98 92 
100437,98 65 
100453,75 103 
100453,75 101 
101001,95 100 
101001,95 5
101001,95 1876
101001,95 10
102973,54 25 
103000,49 75 
104207,66 72 
104292,94 70 
104786,87 80 
105292,04 83 
105549,59 64 258
105711,83 74 140
105711,83 63 140
106523,79 150 
106546,91 68 
106625,64 249
106789 173 
107058,6 92 
107058,6 65 
107077,65 103 
107077,65 101 
107610,13 100 
107610,13 5
107610,13 1876
107610,13 10
109583,98 25 
109677,65 75 
110888,94 72 
111156,88 70 
111771,94 80 
112382,43 83 
112611,21 64 229
112789,43 74 155
112789,43 63 155
113196,4 150 
113223,98 68 
113611,15 249
113695,77 173 
114435,15 92 
114435,15 65 
114461,3 103 
114461,3 101 
114995,29 100 
114995,29 5
114995,29 1876
114995,29 11
116967,47 25 
116996,76 75 
118205,51 72 
118287,02 70 
118783,53 80 
119326,18 83 
119464,39 64 138
119628,7 74 143
119628,7 62 143
120040,2 150 
120061,3 68 
120392,65 249
120452,88 172 
120873,69 92 
120873,69 65 
120898,54 103 
120898,54 101 
121438,83 100 
121438,83 5
121438,83 1876
121438,83 11
123418,08 25 
123445,96 75 
124651,7 72 
124737,63 70 
125229,82 80 
125776,71 83 
125870,37 64 94
126023,94 74 141
126023,94 62 141
126833,25 150 
126858,22 68 
127257,13 249
127492,37 172 
127668,66 92 
127668,66 65 
127695,64 103 
127695,64 101 
128232,54 100 
128232,54 5
128232,54 1876
128232,54 11
130201,87 25 
130229,33 75 
131435,9 72 
131521,51 70 
132016,57 80 
132453,93 83 
132685,57 64 232
132831,83 74 125
132831,83 62 125
133243,96 150 
133268,84 68 
133550,63 249
133694,96 172 
134478,85 92 
134478,85 65 
134492,75 103 
134492,75 101 
135025,11 100 
135025,11 5
135025,11 1876
135025,11 11
136999,09 25 
137026,4 75 
138234,49 72 
138318,6 70 
138819,01 80 
139304,45 83 
139566,92 64 263
139765,25 74 181
139765,25 62 181
140574,85 150 
140599,18 68 
140898,47 249
140936,95 172 
141106,75 92 
141106,75 65 
141130,01 103 
141130,01 101 
141675,64 100 
141675,64 5
141675,64 1876
141675,64 10
143649,57 25 
143903,2 75 
145111,06 72 
145195,65 70 
145706,07 80 
146208,35 83 
146468,82 64 261
146627,22 256 
146635,7 74 148
146635,7 63 148
147045,47 150 
147075,6 68 
147888,7 92 
147888,7 65 
147913,82 103 
147913,82 101 
148445,08 100 
148445,08 5
148445,08 1876
148445,08 10
150420,03 25 
150447,41 75 
153054,2 250 
153071,1 101 
155084,79 100 
155084,79 5
155084,79 1876
155084,79 10
155084,79 25 
155111,05 75 
156319,99 72 
156404,33 70 
156900,68 80 
157350,11 83 
157601,94 64 252
157771,62 74 156
157771,62 63 156
158583,15 152 
158604,34 69 
159112,17 93 
159122,39 103 
159122,39 101 
162160,83 100 
162160,83 5
162160,83 1876
162160,83 11
164134,32 25 
164161,45 75 
165370,17 72 
165453,9 70 
165946,94 80 
166479,59 83 
166622,43 64 143
166865,36 74 226
166865,36 62 226
167675,32 150 
167694,62 68 
168026,02 249
168058,75 172 
168904,63 92 
168904,63 65 
168918,27 103 
168918,27 101 
169461,45 100 
169461,45 5
169461,45 1876
169461,45 11
171437,92 25 
171465,14 75 
172673,89 72 
172757,4 70 
173257,68 80 
173703,3 83 
173866,97 64 164
174016,42 74 127
174016,42 62 127
174427,73 150 
174451,74 68 
175661,41 92 
175661,41 65 
175675,76 103 
175675,76 101 
176210,16 100 
176210,16 5
176210,16 1876
176210,16 11
178181,73 25 
178208,89 75 
179418,5 72 
179501,22 70 
179997,25 80 
180500,42 83 
180623,83 64 124
180783,58 74 137
180783,58 62 137
181194,91 150 
181222,12 68 
181541,75 249
182029,9 92 
182029,9 65 
182046,03 103 
182046,03 101 
182580,87 100 
182580,87 5
182580,87 1876
182580,87 10
184552,41 25 
184579,47 75 
185786,94 72 
185871,98 70 
186361,12 80 
186897,76 83 
186982,83 64 86
187167,3 74 163
187167,3 63 163
187974,88 150 
188005,07 68 
188515,04 92 
188515,04 65 
188536,64 103 
188536,64 101 
189084,01 100 
189084,01 5
189084,01 1876
189084,01 10
191056,31 25 
191084,35 75 
192291,61 72 
192375,82 70 
192875,82 80 
193375 83 
193610,37 64 235
193789,66 74 162
193789,66 63 162
194597,89 150 
194616,52 68 
195425,61 92 
195425,61 65 
195440,38 103 
195440,38 101 
195974,38 100 
195974,38 5
195974,38 1876
195974,38 10
197946,75 25 
198067,01 75 
199276,74 72 
199359,57 70 
199866,64 80 
