72,69 100 
72,69 1
72,69 1860
72,69 11
2026,19 25 
2557,57 75 
3765,97 72 
4023,4 70 
4825,3 80 
5503,08 83 
5632,79 64 130
5862,28 74 211
5862,28 61 211
6674,92 151 
6702,98 69 
7714,75 93 
7730,75 103 
7730,75 101 
10761,13 100 
10761,13 1
10761,13 1860
10761,13 10
12740,48 25 
12768,13 75 
13980,05 72 
14273,37 70 
14913,7 80 
15392,38 83 
15813,37 64 421
16010,34 256 
16029,88 74 198
16029,88 61 198
16439,28 150 
16458,88 68 
17268,28 92 
17268,28 65 
17284,94 103 
17284,94 101 
17817,14 100 
17817,14 1
17817,14 1860
17817,14 11
19790,86 25 
20164,46 75 
21376,57 72 
21456,96 70 
21944,95 80 
22482,81 83 
22754,75 64 272
22946,42 74 171
22946,42 61 171
23356,93 151 
23377,6 69 
23885,28 93 
23895,12 103 
23895,12 101 
26935,64 100 
26935,64 1
26935,64 1860
26935,64 10
28907,08 25 
28934,37 75 
30141,8 72 
30226,73 70 
30716,95 80 
31199,12 83 
31680,64 64 482
32042,67 74 336
32042,67 62 336
32851,3 151 
32880,33 69 
32997,52 256 
33002,42 249 
33083,76 182 
34203,14 93 
34224,16 103 
34224,16 101 
37260,63 100 
37260,63 1
37260,63 1860
37260,63 10
39236,15 25 
39263,26 75 
40472,23 72 
40555,77 70 
41046,44 80 
41474,79 83 
41748,45 64 274
41934,02 74 167
41934,02 61 167
42344 150 
42369,69 68 
43582,08 92 
43582,08 65 
43606,9 103 
43606,9 101 
44139,03 100 
44139,03 1
44139,03 1860
44139,03 10
46113,19 25 
47419,69 75 
48629,43 72 
48712,27 70 
49196,03 80 
49724,72 83 
49976,6 64 252
50142,15 74 152
50142,15 61 152
50954,31 150 
50979,4 68 
51253,2 256 
51294,2 249
51506,1 172 
105316,49 92 
105316,49 65 
105341,13 103 
105341,13 101 
105883,51 100 
105883,51 1
105883,51 1860
105883,51 11
107860,71 25 
117697,01 75 
118906,74 72 
119229,54 70 
119979,63 80 
120689,37 250 
120708,29 101 
122721,22 100 
122721,22 1
122721,22 1860
122721,22 11
122721,22 25 
124507,53 75 
124793,45 250 
124812,49 101 
126826,15 100 
126826,15 1
126826,15 1860
126826,15 11
126826,15 25 
127198,93 75 
128406,55 72 
128665,5 70 
129319,4 80 
129904,51 83 
131079,01 64 1175
131281,36 74 191
131281,36 61 191
132090,57 151 
132118,08 69 
133072,87 249 
133367,08 181 
133472,06 256 
136802,76 93 
136821,27 103 
136821,27 101 
139854,27 100 
139854,27 1
139854,27 1860
139854,27 11
141833,22 25 
151834,88 254 
151854,88 101 
153854,23 100 
153854,23 1
153854,23 1860
153854,23 11
153854,23 25 
159999,3 75 
161206,07 72 
161291,8 70 
161785,58 80 
162211,07 83 
163699,7 64 1489
163922,03 74 204
163922,03 63 204
164331,63 153 
164358,69 68 
165570,15 92 
165570,15 65 
165595,9 103 
165595,9 101 
166133,57 100 
166133,57 1
166133,57 1860
166133,57 10
168102,21 25 
177138,92 75 
178345,52 72 
178418,07 70 
178898,06 80 
179377,14 83 
180023,63 64 647
180541,54 74 498
180541,54 61 498
181399,62 256 
188304,07 251 
188304,07 242 
188319,64 101 
190332,96 100 
190332,96 1
190332,96 1860
190332,96 10
190332,96 25 
199156,29 75 
199846,49 250 
199861,13 101 
201875,15 100 
201875,15 1
201875,15 1860
201875,15 10
201875,15 25 
201901,39 75 
202562,3 250 
202579,99 101 
204593,65 100 
204593,65 1
204593,65 1860
204593,65 10
204593,65 25 
207831,91 75 
208027,83 250 
208044,4 101 
210044,79 100 
210044,79 1
210044,79 1860
210044,79 10
210044,79 25 
220044,14 254 
220053,06 101 
222065,63 100 
222065,63 1
222065,63 1860
222065,63 10
222065,63 25 
232068,46 254 
232088,05 101 
234100,52 100 
234100,52 1
234100,52 1860
234100,52 10
234100,52 25 
239245,49 75 
239259,84 250 
239271,31 101 
241271,83 100 
241271,83 1
241271,83 1860
241271,83 10
241271,83 25 
241404,51 75 
241578,77 250 
241590,33 101 
243590,97 100 
243590,97 1
243590,97 1860
243590,97 10
243590,97 25 
252946,33 75 
254153,96 72 
254412,93 70 
255206,05 80 
255891,85 83 
256153,63 64 262
256192,53 256 
259099,66 74 2928
259099,66 61 2928
266171,81 252 
266180,6 101 
268193,68 100 
268193,68 1
268193,68 1860
268193,68 10
268193,68 25 
274498,14 75 
275117,62 250 
275136,31 101 
277150 100 
277150 1
277150 1860
277150 10
277150 25 
277922,58 75 
278127,2 250 
278135,05 101 
